,Total,București,Ilfov
<b>Suprafața</b> (km²),1.823,240,1.583
<b>Populația</b>,2.536.859,2.113.362,423.497
<b>Densitatea pop.</b> (loc/km²),"1.391,5","8.805,6","267,5"
<b>Populația urbană</b>,2.305.386,2.113.362,192.024
<b>Populația urbană</b> (%),"90,8",100,"45,3"
<b>Populația activă</b>,1.390.100,1.188.800,201.300
<b>Populația ocupată</b> (%),"89,4","97,2","60,9"
<b>PIB</b> (miliarde. EUR)*,"50,5","41,7**","4,5**"
<b>PIB-PPS media UE</b> (%)*,145,157**,70**
<b>Rata șomajului</b> (%),"1,2","1,3","0,6"
<b>Nr. de companii active</b>,142.118,116.603,25.515
<b>Cat. de întreprinderi</b>
<span class='indent'>0-9 pers.</span>,"89,9%","89,8%","90,5%"
<span class='indent'>10-49 pers.</span>,8%,8%,"7,5%"
<span class='indent'>50-250 pers.</span>,"1,7%","1,7%","1,7%"
<span class='indent'>>250 pers.</span>,"0,4%","0,5%","0,3%"
<b>Nr. de absolvenți</b>*,42.921,42.882,39
<b>Salariu mediu net</b> (€),763,786,616
