,Total,Brăila,Buzau,Constanța,Galați,Tulcea,Vrancea
<b>Suprafața</b> (km²),35.774,4.766,6.101,7.104,4.465,8.484,4.854
<b>Populația</b>,2.844.235,348.981,470.954,768.049,628.276,239.981,387.994
<b>Densitatea pop.</b> (loc/km²),"79,5","73,2","77,2","108,1","140,7","28,3","79,9"
<b>Populația urbană</b>,1.581.522,227.087,197.556,532.068,358.699,118.447,145.736
<b>Populația urbană</b> (%),"55,6","65,1","41,9","69,3","57,1","49,4","37,6"
<b>Populația activă</b>,995.400,123.000,171.700,292.400,190.200,82.200,135.900
<b>Populația ocupată</b> (%),"63,8","66,8",64,"65,5","56,1","65,4","68,1"
<b>PIB</b> (miliarde. EUR)*,"17,8","1,9","2,3","7,7","2,9","1,3","1,7"
<b>PIB-PPS media UE</b> (%)*,50,42,37,77,38,45,36
<b>Rata șomajului</b> (%),"4,6",4,"7,3","2,7","6,3","3,7","4,1"
<b>Nr. de companii active</b>,63.232,6.527,9.773,22.606,12.512,4.882,6.932
<b>Cat. de întreprinderi</b>
<span class='indent'>0-9 pers.</span>,"89,9%","88,9%",90%,"89,2%",91%,"89,8%","90,6%"
<span class='indent'>10-49 pers.</span>,"8,6%","9,3%","8,5%","9,2%","7,4%","8,6%","8,1%"
<span class='indent'>50-250 pers.</span>,"1,3%","1,5%","1,2%","1,4%","1,3%","1,5%","1,1%"
<span class='indent'>>250 pers.</span>,"1,3%","0,2%","0,3%","0,2%","0,2%","0,2%","0,2%"
<b>Nr. de absolvenți</b>,56.558,6.083,8.052,18.674,14.015,3.515,6.219
<b>Salariu mediu net</b> (€),475,446,457,501,482,484,439
