,Total,Dolj,Gorj,Mehedinți,Olt,Vâlcea
<b>Suprafața</b> (km²)*,29.206,7.425,5.572,4.942,5.503,5.764
<b>Populația</b>,2.179.006,694.234,361.676,282.601,441.376,399.119
<b>Densitatea pop.</b> (loc/km²)*,"68,4",87,"58,1","51,4","75,4","62,5"
<b>Populația urbană</b>,1.085.960,383.250,175.541,142.900,192.157,192.112
<b>Populația urbană</b> (%),"49,8","55,2","48,5","50,6","43,5","48,1"
<b>Populația activă</b>,"826,9","266,1","135,8","103,7","161,8","159,5"
<b>Populația ocupată</b> (%),"64,6","61,8","63,7","63,5","62,4","74,4"
<b>PIB</b> (miliarde. EUR)**,"12,3",4,"2,7","1,2",2,"2,2"
<b>PIB-PPS media UE</b> (%)**,42,45,53,32,36,42
<b>Rata șomajului</b> (%),"5,9","7,4","4,4","7,7","6,3","3,1"
<b>Nr. de companii active</b>,40.623,15.234,6.784,3.489,7.236,7.880
<b>Cat. de întreprinderi</b>
<span class='indent'>0-9 pers.</span>,36.760,13.754,6.203,3.147,6.572,7.084
<span class='indent'>10-49 pers.</span>,3.310,1.268,501,301,560,680
<span class='indent'>50-250 pers.</span>,464,177,69,34,87,97
<span class='indent'>>250 pers.</span>,89,35,11,7,17,19
<b>Nr. de absolvenți</b>,7.350,5.775,637,524,165,249
<b>Salariu mediu net</b> (€),478.29,505.87,491.25,449.48,482.20,433.01
