,Total,Argeș,Călărași,Dâmbovița,Giurgiu,Ialomița,Prahova,Teleorman
<b>Suprafața</b> (km²),34.489,6.862,5.088,4.054,3.526,4.453,4.716,579
<b>Populația</b>,3.206.530,638.243,311.507,52.277,273.011,28.911,796.500,375.389
<b>Densitatea pop.</b> (loc/km²),93,93,"61,2",129,"77,4","64,9","168,9","64,8"
<b>Populația urbană</b>,1.373.247,312.919,124.853,166.199,88.846,137.572,405.784,137.074
<b>Populația urbană</b> (%),"42,8",49,"40,1","31,8","32,5","47,6","50,9","36,5"
<b>Populația activă</b>,1.153.900,259.600,90.800,192.100,81.300,93.500,293.000,143.600
<b>Populația ocupată</b> (%),"61,1","69,2","50,6","58,6","47,6","56,4","63,7","68,7"
<b>PIB</b> (miliarde. EUR)*,"21,7","5,1","1,6","3,2","1,7","1,7","6,6","1,8"
<b>PIB-PPS media UE</b> (%)*,51,54,36,41,39,41,66,31
<b>Rata șomajului</b> (%),4,"3,2","4,2","4,2","2,3","5,6","2,6","7,8"
<b>Nr. de companii active</b>,63.262,16.922,4.970,8.300,4.939,4.530,18.292,5.309
<b>Cat. de întreprinderi</b>
<span class='indent'>0-9 pers.</span>,"89,3%","88,7%","89,4%","90,5%","91,2%","88,3%","88,6%","90,4%"
<span class='indent'>10-49 pers.</span>,"8,9%","9,4%","9,2%",8%,"7,4%",10%,"9,3%",8%
<span class='indent'>50-250 pers.</span>,"1,5%","1,6%","1,2%","1,3%","1,3%","1,5%","1,7%","1,4%"
<span class='indent'>>250 pers.</span>,"0,3%","0,3%","0,2%","0,2%","0,1%","0,2%","0,4%","0,2%"
<b>Nr. de absolvenți</b>**,5.960,2.700,63,1.314,0,0,1.680,203
<b>Salariu mediu net</b> (€),508,549,472,480,502,464,525,446
