,Total,Arad,Caraș-Severin,Hunedoara,Timiș
<b>Suprafața</b> (km²),32.034,7.754,8.520,7.063,8.697
<b>Populația</b>,2.007.273,472.282,322.243,462.236,750.512
<b>Densitatea pop.</b> (loc/km²),"62,7","60,9","37,8","65,4","86,3"
<b>Populația urbană</b>,1.266.477,267.858,188.359,359.597,450.663
<b>Populația urbană</b> (%),"63,1","56,7","58,5","77,8","60,0"
<b>Populația activă</b>,844.800,214.200,106.800,172.200,351.600
<b>Populația ocupată</b> (%),"72,1","79,7","60,6","69,4","73,3"
<b>PIB</b> (miliarde. EUR)*,"16,5","3,7","2,0","2,7","8,2"
<b>PIB-PPS media UE</b> (%)*,63,60,48,47,80
<b>Rata șomajului</b> (%),"1,8","1,4","3,3","3,4","0,8"
<b>Nr. de companii active</b>,52.216,12.548,4.877,9.196,25.595
<b>Cat. de întreprinderi</b>
<span class='indent'>0-9 pers.</span>,"89,8%","89,3%","90,3%","89,5%","90,1%"
<span class='indent'>10-49 pers.</span>,"8,4%","8,7%","8,3%","8,6%","8,1%"
<span class='indent'>50-250 pers.</span>,"1,5%","1,5%","1,3%","1,7%","1,5%"
<span class='indent'>>250 pers.</span>,"0,3%","0,4%","0,1%","0,3%","0,3%"
<b>Nr. de absolvenți</b>,12.278,2.464,320,947,8.547
<b>Salariu mediu net</b> (€),536,503,451,440,615
